,pw,x1,x2,x3
0,1,c1948_Andropogon,c1950_Andropogon,"""="""
1,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""="""
2,1,c1948_A_capillipes,c1950_A_capillipes,"""="""
3,1,c1948_A_glomeratus,c1950_Andropogon,"""<"""
4,1,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
5,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""<"""
6,1,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
7,1,c1948_A_virginicus,c1950_Andropogon,"""<"""
8,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""<"""
9,1,c1948_A_capillipes,c1950_Andropogon,"""<"""
10,1,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
11,1,c1948_Andropogon,c1950_A_glomeratus,""">"""
12,1,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
13,1,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
14,1,c1948_Andropogon,c1950_A_capillipes,""">"""
15,1,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
16,1,c1948_Andropogon,c1950_A_virginicus,""">"""
17,1,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
18,1,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,""">"""
19,1,c1948_A_virginicus,c1950_A_virginicus,"""><"""
20,1,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
21,1,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""><"""
22,1,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
23,1,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,"""><"""
24,1,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
25,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""><"""
26,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""><"""
27,1,c1948_A_virginicus_var_glaucopsis,c1950_A_glomeratus,"""><"""
28,1,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
29,1,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""!"""
30,1,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
31,1,c1948_A_capillipes,c1950_A_virginicus,"""!"""
32,1,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""!"""
33,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
34,1,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_glaucopsis,"""!"""
35,1,c1948_A_virginicus_var_virginicus,c1950_A_capillipes,"""!"""
36,1,c1948_A_virginicus,c1950_A_capillipes,"""!"""
37,1,c1948_A_virginicus,c1950_A_virginicus_var_hirsutior,"""!"""
38,1,c1948_A_capillipes,c1950_A_virginicus_var_glaucopsis,"""!"""
39,1,c1948_A_capillipes,c1950_A_virginicus_var_hirsutior,"""!"""
40,1,c1948_A_capillipes,c1950_A_glomeratus,"""!"""
41,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_virginicus,"""!"""
42,1,c1948_A_virginicus_var_glaucopsis,c1950_A_capillipes,"""!"""
43,1,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_hirsutior,"""!"""
44,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus,"""!"""
45,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_virginicus,"""!"""
46,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_capillipes,"""!"""
47,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_glaucopsis,"""!"""
48,1,c1948_A_virginicus_var_tenuispatheus,c1950_A_virginicus_var_hirsutior,"""!"""
49,2,c1948_Andropogon,c1950_Andropogon,"""="""
50,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus_var_virginicus,"""="""
51,2,c1948_A_capillipes,c1950_A_capillipes,"""="""
52,2,c1948_A_glomeratus,c1950_Andropogon,"""<"""
53,2,c1948_A_virginicus_var_tenuispatheus,c1950_Andropogon,"""<"""
54,2,c1948_A_virginicus_var_tenuispatheus,c1950_A_glomeratus,"""<"""
55,2,c1948_A_virginicus_var_virginicus,c1950_Andropogon,"""<"""
56,2,c1948_A_virginicus,c1950_Andropogon,"""<"""
57,2,c1948_A_virginicus_var_virginicus,c1950_A_virginicus,"""<"""
58,2,c1948_A_capillipes,c1950_Andropogon,"""<"""
59,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus,"""<"""
60,2,c1948_A_virginicus_var_glaucopsis,c1950_A_virginicus_var_glaucopsis,"""<"""
61,2,c1948_A_virginicus_var_glaucopsis,c1950_Andropogon,"""<"""
62,2,c1948_Andropogon,c1950_A_glomeratus,""">"""
63,2,c1948_Andropogon,c1950_A_virginicus_var_hirsutior,""">"""
64,2,c1948_Andropogon,c1950_A_virginicus_var_glaucopsis,""">"""
65,2,c1948_Andropogon,c1950_A_capillipes,""">"""
66,2,c1948_Andropogon,c1950_A_virginicus_var_virginicus,""">"""
67,2,c1948_Andropogon,c1950_A_virginicus,""">"""
68,2,c1948_A_glomeratus,c1950_A_virginicus_var_hirsutior,""">"""
69,2,c1948_A_virginicus,c1950_A_virginicus_var_virginicus,""">"""
70,2,c1948_A_virginicus,c1950_A_virginicus,"""><"""
71,2,c1948_A_glomeratus,c1950_A_glomeratus,"""><"""
72,2,c1948_A_glomeratus,c1950_A_virginicus_var_glaucopsis,"""><"""
73,2,c1948_A_glomeratus,c1950_A_virginicus,"""><"""
74,2,c1948_A_virginicus,c1950_A_virginicus_var_glaucopsis,"""><"""
75,2,c1948_A_virginicus,c1950_A_glomeratus,"""><"""
76,2,c1948_A_glomeratus,c1950_A_capillipes,"""!"""
77,2,c1948_A_glomeratus,c1950_A_virginicus_var_virginicus,"""!"""
78,2,c1948_A_capillipes,c1950_A_virginicus_var_virginicus,"""!"""
79,2,c1948_A_capillipes,c1950_A_virginicus,"""!"""
80,2,c1948_A_virginicus_var_virginicus,c1950_A_glomeratus,"""!"""
